Balancing Transmission Congestion Credit Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:59 AM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.05,4000.06,2215.11,3000.38,2215.12,2215.13,2215.01,4000.07
Customer ID,Customer Code,EPT Hour Ending,GMT Hour Ending,Total PJM Balancing Congestion Revenues ($),RT Load (MWh),RT Exports (MWh),Total PJM RT Load plus Exports (MWh),Balancing Transmission Congestion Credit ($),Version
38738,TIDALE,02/16/2018 02,02/16/2018 07,-77.19,,.000000,72066.732897,.00,20180201.000
38738,TIDALE,02/16/2018 03,02/16/2018 08,-4.05,,.000000,70153.128981,.00,20180201.000
38738,TIDALE,02/16/2018 04,02/16/2018 09,.00,,.000000,69977.154016,.00,20180201.000
38738,TIDALE,02/16/2018 05,02/16/2018 10,.00,,10.000000,71410.347021,.00,20180201.000
38738,TIDALE,02/16/2018 06,02/16/2018 11,-52.56,,10.000000,76343.002044,-.01,20180201.000
38738,TIDALE,02/16/2018 07,02/16/2018 12,-17767.83,,10.000000,84367.819026,-2.11,20180201.000
38738,TIDALE,02/16/2018 08,02/16/2018 13,-3286.47,,.000000,90386.375008,.00,20180201.000
38738,TIDALE,02/16/2018 09,02/16/2018 14,-3711.39,,.000000,91566.896977,.00,20180201.000
38738,TIDALE,02/16/2018 10,02/16/2018 15,-35806.00,,.000000,92452.581055,.00,20180201.000
38738,TIDALE,02/16/2018 11,02/16/2018 16,-9411.88,,.000000,93229.260006,.00,20180201.000
38738,TIDALE,02/16/2018 12,02/16/2018 17,-5625.17,,.000000,92915.280006,.00,20180201.000
38738,TIDALE,02/16/2018 13,02/16/2018 18,-9378.75,,.000000,92796.743765,.00,20180201.000
38738,TIDALE,02/16/2018 14,02/16/2018 19,-763.97,,.000000,92758.841942,.00,20180201.000
38738,TIDALE,02/16/2018 15,02/16/2018 20,-54.28,,.000000,92227.139030,.00,20180201.000
38738,TIDALE,02/16/2018 16,02/16/2018 21,2653.19,,.000000,92183.033004,.00,20180201.000
38738,TIDALE,02/16/2018 17,02/16/2018 22,1405.55,,.000000,92807.229986,.00,20180201.000
38738,TIDALE,02/16/2018 18,02/16/2018 23,3973.17,,.000000,94746.035008,.00,20180201.000
38738,TIDALE,02/16/2018 19,02/17/2018 00,-838.57,,.000000,97254.709042,.00,20180201.000
38738,TIDALE,02/16/2018 20,02/17/2018 01,-1441.06,,.000000,96920.050000,.00,20180201.000
38738,TIDALE,02/16/2018 21,02/17/2018 02,2974.76,,.000000,95251.964104,.00,20180201.000
38738,TIDALE,02/16/2018 22,02/17/2018 03,6572.12,,.000000,93161.613054,.00,20180201.000
38738,TIDALE,02/16/2018 23,02/17/2018 04,-606.37,,.000000,90071.699028,.00,20180201.000
38738,TIDALE,02/16/2018 24,02/17/2018 05,-3299.45,,.000000,85434.803928,.00,20180201.000
38738,TIDALE,02/21/2018 01,02/21/2018 06,467.52,,.000000,72783.402967,.00,20180201.000
38738,TIDALE,02/21/2018 02,02/21/2018 07,337.56,,.000000,71623.812023,.00,20180201.000
38738,TIDALE,02/21/2018 03,02/21/2018 08,589.57,,10.000000,70700.907978,.08,20180201.000
38738,TIDALE,02/21/2018 04,02/21/2018 09,804.20,,10.000000,70335.735997,.11,20180201.000
38738,TIDALE,02/21/2018 05,02/21/2018 10,367.93,,10.000000,71505.198065,.05,20180201.000
38738,TIDALE,02/21/2018 06,02/21/2018 11,-1823.88,,10.000000,75915.121990,-.24,20180201.000
