EDC Account,EDC Account,AE,AE,VMEU,VMEU,AEPAPT,AEPAPT,AEPIMP,AEPIMP,AEPKPT,AEPKPT,AEPOPT,AEPOPT,AETSAP,AETSAP,BC,BC,COMED,COMED,DAYEDC,DAYEDC,DOMEDC,DOMEDC,DPL,DPL,EASTON,EASTON,DLCO,DLCO,JCBGS,JCBGS,MetEd,MetEd,PE,PE,PaElec,PaElec,PEPCO,PEPCO,SMECO,SMECO,PPL,PPL,UGI-UI,UGI-UI,PSEG,PSEG,RECO,RECO,OEEDC,OEEDC,PAPWR,PAPWR,DEOEDC,DEOEDC,EKPC,EKPC
Zone,Zone,AECO,AECO,AECO,AECO,AEP,AEP,AEP,AEP,AEP,AEP,AEP,AEP,APS,APS,BGE,BGE,COMED,COMED,DAY,DAY,DOM,DOM,DPL,DPL,DPL,DPL,DUQ,DUQ,JCPL,JCPL,METED,METED,PECO,PECO,PENELEC,PENELEC,PEPCO,PEPCO,PEPCO,PEPCO,PPL,PPL,PPL,PPL,PSEG,PSEG,RECO,RECO,ATSI,ATSI,ATSI,ATSI,DEOK,DEOK,EKPC,EKPC
NERC Region,NERC Region,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,SERC,SERC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,RFC,SERC,SERC
EPT Hour Ending,GMT Hour Ending,Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh),Load with Losses  (MWh),Load without Losses  (MWh)
02/01/2018 08,02/01/2018 13,1147.883000000,1125.563000000,85.752000000,83.948000000,5881.870000000,5700.870000000,3592.524000000,3484.924000000,853.221000000,832.921000000,6969.614000000,6749.514000000,6782.704000000,6594.204000000,4313.047000000,4222.952000000,11874.020000000,11483.420000000,2290.000000000,2214.200000000,14349.331000000,14044.231000000,2635.338000000,2545.811000000,40.835000000,39.500000000,1596.672000000,1582.072000000,2887.918000000,2839.319000000,2204.157000000,2140.469000000,5455.223000000,5365.455000000,2441.938000000,2346.698000000,3556.237000000,3492.653000000,518.973000000,509.914000000,5887.597000000,5752.681000000,161.846000000,154.918000000,5455.334000000,5369.165000000,173.558000000,171.534000000,7899.871000000,7732.071000000,647.481000000,633.481000000,3252.546000000,3206.246000000,1775.821000000,1728.721000000
02/01/2018 09,02/01/2018 14,1118.668000000,1098.333000000,85.299000000,83.656000000,5757.304000000,5581.604000000,3628.537000000,3521.237000000,834.987000000,815.387000000,6918.227000000,6700.927000000,6719.184000000,6543.684000000,4209.506000000,4127.465000000,12450.863000000,12060.963000000,2281.000000000,2204.400000000,13655.652000000,13400.052000000,2545.311000000,2467.818000000,40.505000000,39.300000000,1608.231000000,1594.131000000,2891.093000000,2842.993000000,2189.466000000,2126.957000000,5473.118000000,5384.248000000,2408.638000000,2318.576000000,3578.280000000,3513.798000000,491.386000000,482.681000000,5789.367000000,5660.913000000,159.260000000,152.559000000,5515.420000000,5430.931000000,178.668000000,176.721000000,7900.236000000,7740.936000000,639.149000000,625.749000000,3248.188000000,3201.388000000,1687.218000000,1642.718000000
02/01/2018 10,02/01/2018 15,1100.131000000,1078.967000000,83.818000000,82.097000000,5605.373000000,5440.973000000,3667.026000000,3563.126000000,824.074000000,805.574000000,6905.368000000,6698.368000000,6562.273000000,6396.473000000,4131.292000000,4049.052000000,12719.296000000,12336.696000000,2282.000000000,2208.000000000,12930.236000000,12697.336000000,2439.994000000,2372.004000000,39.238000000,38.200000000,1622.344000000,1608.244000000,2873.456000000,2823.537000000,2163.641000000,2101.428000000,5378.740000000,5286.969000000,2417.883000000,2323.083000000,3501.355000000,3434.635000000,468.349000000,459.720000000,5700.721000000,5568.780000000,156.794000000,150.045000000,5487.202000000,5396.298000000,180.635000000,178.381000000,7918.330000000,7755.930000000,611.189000000,598.589000000,3236.628000000,3190.928000000,1646.534000000,1603.634000000
02/01/2018 11,02/01/2018 16,1058.280000000,1037.841000000,81.549000000,79.891000000,5412.937000000,5262.537000000,3661.948000000,3564.148000000,795.000000000,778.200000000,6884.021000000,6688.321000000,6551.107000000,6398.207000000,4054.408000000,3976.395000000,12581.605000000,12204.305000000,2290.000000000,2217.600000000,12357.262000000,12144.662000000,2333.531000000,2273.403000000,37.906000000,36.900000000,1628.190000000,1614.890000000,2802.383000000,2756.572000000,2156.145000000,2095.348000000,5297.663000000,5213.818000000,2420.013000000,2324.287000000,3450.471000000,3387.431000000,442.462000000,434.592000000,5636.983000000,5511.000000000,154.771000000,148.222000000,5429.185000000,5342.379000000,180.925000000,178.765000000,7887.513000000,7727.913000000,610.637000000,598.137000000,3239.640000000,3195.440000000,1617.899000000,1577.099000000
02/01/2018 12,02/01/2018 17,1020.915000000,1000.561000000,79.693000000,78.056000000,5262.162000000,5124.062000000,3659.119000000,3565.319000000,785.060000000,769.460000000,6847.184000000,6662.784000000,6443.876000000,6300.676000000,3975.800000000,3902.144000000,12664.292000000,12293.892000000,2272.000000000,2202.800000000,11869.018000000,11669.418000000,2230.937000000,2176.118000000,35.685000000,34.800000000,1624.552000000,1611.552000000,2755.550000000,2710.241000000,2124.311000000,2064.144000000,5227.679000000,5148.324000000,2401.695000000,2309.112000000,3404.794000000,3342.599000000,409.550000000,402.279000000,5535.361000000,5412.549000000,151.963000000,145.649000000,5327.880000000,5243.425000000,177.070000000,175.056000000,7763.784000000,7614.384000000,605.405000000,593.505000000,3236.825000000,3193.425000000,1623.172000000,1583.872000000
02/01/2018 13,02/01/2018 18,1010.589000000,990.780000000,81.271000000,79.635000000,5191.335000000,5053.535000000,3689.280000000,3593.880000000,783.150000000,767.550000000,6789.223000000,6604.423000000,6352.183000000,6216.883000000,3890.223000000,3819.779000000,12623.396000000,12256.996000000,2269.000000000,2198.700000000,11430.459000000,11240.759000000,2156.499000000,2105.923000000,33.865000000,33.100000000,1635.170000000,1622.170000000,2691.821000000,2647.755000000,2089.412000000,2030.661000000,5137.228000000,5061.025000000,2349.261000000,2258.076000000,3349.127000000,3289.317000000,380.124000000,373.549000000,5435.538000000,5317.001000000,148.476000000,142.314000000,5247.223000000,5163.759000000,173.325000000,171.369000000,7706.309000000,7561.709000000,594.185000000,582.785000000,3237.549000000,3193.649000000,1542.968000000,1503.268000000
02/01/2018 14,02/01/2018 19,985.534000000,966.376000000,79.034000000,77.496000000,5163.761000000,5017.061000000,3706.239000000,3604.239000000,786.384000000,769.584000000,6808.223000000,6608.023000000,6255.634000000,6120.034000000,3826.048000000,3756.953000000,12603.335000000,12220.735000000,2266.000000000,2193.600000000,11183.772000000,10993.572000000,2097.520000000,2049.383000000,32.261000000,31.500000000,1632.680000000,1619.780000000,2658.338000000,2614.372000000,2083.685000000,2025.359000000,5028.860000000,4953.352000000,2334.179000000,2244.631000000,3282.279000000,3222.975000000,367.183000000,360.818000000,5373.325000000,5256.536000000,146.721000000,140.336000000,5177.682000000,5092.173000000,171.676000000,169.690000000,7816.192000000,7670.192000000,592.702000000,581.402000000,3233.225000000,3188.125000000,1526.726000000,1486.726000000
02/01/2018 15,02/01/2018 20,978.625000000,959.995000000,73.743000000,72.368000000,5143.648000000,4991.948000000,3649.361000000,3543.961000000,788.755000000,771.455000000,6756.755000000,6550.055000000,6284.430000000,6152.630000000,3766.039000000,3698.876000000,12552.817000000,12154.717000000,2265.000000000,2193.300000000,10984.740000000,10793.040000000,2075.942000000,2028.857000000,31.949000000,31.200000000,1588.112000000,1575.812000000,2666.814000000,2623.722000000,2055.644000000,1998.717000000,5010.700000000,4937.333000000,2298.902000000,2209.478000000,3234.450000000,3177.632000000,368.379000000,362.107000000,5305.274000000,5191.410000000,144.944000000,138.914000000,5208.370000000,5124.662000000,170.798000000,168.866000000,7761.037000000,7615.437000000,589.825000000,578.325000000,3259.453000000,3214.053000000,1562.625000000,1522.025000000
02/01/2018 16,02/01/2018 21,996.453000000,977.606000000,77.776000000,76.279000000,5137.251000000,4982.851000000,3621.563000000,3515.763000000,800.948000000,782.948000000,6777.143000000,6566.243000000,6234.944000000,6103.044000000,3738.507000000,3671.218000000,12522.010000000,12112.110000000,2265.000000000,2195.200000000,10896.735000000,10709.035000000,2111.496000000,2060.793000000,32.046000000,31.300000000,1584.187000000,1571.587000000,2691.022000000,2649.171000000,2020.201000000,1963.998000000,4982.762000000,4910.225000000,2274.764000000,2186.508000000,3249.410000000,3192.874000000,377.787000000,371.388000000,5277.788000000,5164.987000000,145.266000000,139.351000000,5279.484000000,5197.570000000,171.685000000,169.768000000,7770.282000000,7619.882000000,608.229000000,596.329000000,3292.491000000,3246.891000000,1653.852000000,1613.052000000
02/01/2018 17,02/01/2018 22,1073.930000000,1053.082000000,83.566000000,81.924000000,5203.532000000,5047.032000000,3676.667000000,3569.667000000,810.151000000,792.051000000,6935.046000000,6718.746000000,6357.740000000,6225.940000000,3861.803000000,3790.144000000,12553.557000000,12136.057000000,2304.000000000,2233.600000000,11238.394000000,11059.094000000,2183.041000000,2128.275000000,32.348000000,31.500000000,1601.864000000,1589.764000000,2817.907000000,2773.965000000,2057.314000000,2000.114000000,5112.668000000,5036.902000000,2293.479000000,2210.065000000,3279.118000000,3221.934000000,402.047000000,395.259000000,5321.915000000,5207.442000000,148.941000000,142.897000000,5386.407000000,5303.439000000,176.786000000,174.728000000,7964.336000000,7810.836000000,615.173000000,602.873000000,3368.727000000,3322.327000000,1752.622000000,1711.322000000
