LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
24949,APMPLD,"February, 2018",N,N,20180201.000
30299,APNAEP,"February, 2018",N,N,20180201.000
16730,APNAPS,"February, 2018",N,N,20180201.000
39808,APNATI,"February, 2018",N,N,20180201.000
25501,APNCE,"February, 2018",N,N,20180201.000
33721,APNCE1,"February, 2018",N,N,20180201.000
34723,APNCE2,"February, 2018",N,N,20180201.000
34724,APNCE3,"February, 2018",N,N,20180201.000
30855,APNDOM,"February, 2018",N,N,20180201.000
30298,APNDQ1,"February, 2018",N,,20180201.000
19710,APNDUQ,"February, 2018",N,N,20180201.000
9082,APNM,"February, 2018",N,N,20180201.000
12360,APNMAE,"February, 2018",N,N,20180201.000
11701,APNME,"February, 2018",N,N,20180201.000
17899,APNME2,"February, 2018",N,N,20180201.000
19593,APNME3,"February, 2018",N,N,20180201.000
19594,APNME4,"February, 2018",N,N,20180201.000
11677,APNMI,"February, 2018",N,N,20180201.000
12583,APNMRD,"February, 2018",N,N,20180201.000
11627,APNMT,"February, 2018",N,N,20180201.000
44187,APNOE1,"February, 2018",N,N,20180201.000
19592,APNPE3,"February, 2018",N,N,20180201.000
17898,APNPL2,"February, 2018",N,N,20180201.000
19590,APNPL3,"February, 2018",N,N,20180201.000
19591,APNPL4,"February, 2018",N,N,20180201.000
19595,APNPN1,"February, 2018",N,N,20180201.000
43704,APNPN2,"February, 2018",N,N,20180201.000
44183,APNPN3,"February, 2018",N,N,20180201.000
44184,APNPN4,"February, 2018",N,N,20180201.000
44185,APNPN5,"February, 2018",N,N,20180201.000
16729,APNPPL,"February, 2018",N,N,20180201.000
26678,APNPS2,"February, 2018",N,N,20180201.000
16738,APNPSE,"February, 2018",N,N,20180201.000
24582,APNSCS,"February, 2018",N,N,20180201.000
24583,APNSOP,"February, 2018",N,N,20180201.000
40223,APNTOL,"February, 2018",,N,20180201.000
44186,APNWP5,"February, 2018",N,N,20180201.000
20135,APSFAP,"February, 2018",N,N,20180201.000
30297,APSFD1,"February, 2018",N,N,20180201.000
19598,APSFDP,"February, 2018",N,N,20180201.000
20777,APSFDQ,"February, 2018",N,N,20180201.000
21161,APSFI2,"February, 2018",N,N,20180201.000
21162,APSFI3,"February, 2018",N,N,20180201.000
20612,APSFIC,"February, 2018",N,N,20180201.000
31960,APSFO1,"February, 2018",N,N,20180201.000
20614,APSFOE,"February, 2018",N,N,20180201.000
19596,APSPA1,"February, 2018",N,N,20180201.000
37265,APSPA2,"February, 2018",N,N,20180201.000
39619,APSPA3,"February, 2018",N,N,20180201.000
10713,APWVP,"February, 2018",N,N,20180201.000
26194,ARCCET,"February, 2018",,N,20180201.000
43824,ARCHAO,"February, 2018",,N,20180201.000
12425,ARCMIT,"February, 2018",Y,Y,20180201.000
35830,AREFEN,"February, 2018",N,,20180201.000
35831,AREOEN,"February, 2018",,N,20180201.000
35832,ARETEN,"February, 2018",,N,20180201.000
34119,ASPAEP,"February, 2018",N,N,20180201.000
34125,ASTAEP,"February, 2018",N,N,20180201.000
