Real-Time Daily Energy Transactions
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:20 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.04,4000.11,4000.09,4000.13,4000.14,3006.01,3006.02,3006.25,3006.03,3006.04,3006.05,3006.06,3006.07,3006.08,3006.09,3006.1,3006.11,3006.12,3006.13,3006.14,3006.15,3006.16,3006.17,3006.18,3006.19,3006.2,3006.21,3006.22,3006.23,3006.24,3006.26,4000.23,4000.24,4000.21,4000.22,4000.18,4000.17,4000.07
Customer ID,Customer Code,Date,Transaction Type,Transaction ID,NERC Tag,OASIS ID,EPT HE 01,EPT HE 02,EPT HE 02*,EPT HE 03,EPT HE 04,EPT HE 05,EPT HE 06,EPT HE 07,EPT HE 08,EPT HE 09,EPT HE 10,EPT HE 11,EPT HE 12,EPT HE 13,EPT HE 14,EPT HE 15,EPT HE 16,EPT HE 17,EPT HE 18,EPT HE 19,EPT HE 20,EPT HE 21,EPT HE 22,EPT HE 23,EPT HE 24,Total MWh,Source PNODE Name,Source PNODE ID,Sink PNODE Name,Sink PNODE ID,Seller,Buyer,Version
38738,TIDALE,02/04/2018,Import,MECS3620428,ONT_TIDAL0010856_PJM,SPOT,-10.000000,-10.000000,.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-10.000000,-240.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/04/2018,RT Net Interchange,,,,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,,,,,,,20180201.000
38738,TIDALE,02/05/2018,Import,MECS3620616,ONT_TIDAL0010858_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/05/2018,Import,MECS3620619,ONT_TIDAL0010859_PJM,SPOT,-35.000000,-35.000000,.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-35.000000,-840.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/05/2018,RT Net Interchange,,,,-70.000000,-70.000000,.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-1680.000000,,,,,,,20180201.000
38738,TIDALE,02/06/2018,Import,MECS3620916,ONT_TIDAL0010863_PJM,SPOT,-30.000000,-30.000000,.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,-510.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/06/2018,RT Net Interchange,,,,-30.000000,-30.000000,.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,-30.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,-510.000000,,,,,,,20180201.000
38738,TIDALE,02/08/2018,Import,MECS3621361,ONT_TIDAL0010871_PJM,SPOT,-50.000000,-50.000000,.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-50.000000,-1200.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/08/2018,Import,MECS3621372,ONT_TIDAL0010872_PJM,SPOT,-20.000000,-20.000000,.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-20.000000,-480.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/08/2018,RT Net Interchange,,,,-70.000000,-70.000000,.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-70.000000,-1680.000000,,,,,,,20180201.000
38738,TIDALE,02/09/2018,Import,MECS3621588,ONT_TIDAL0010873_PJM,SPOT,-40.000000,-40.000000,.000000,-40.000000,-40.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,-160.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/09/2018,Import,MECS3621593,ONT_TIDAL0010874_PJM,SPOT,-30.000000,-30.000000,.000000,-30.000000,-30.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,-120.000000,IMO,31252687,IMO,31252687,MECSCA,TIDALE,20180201.000
38738,TIDALE,02/09/2018,RT Net Interchange,,,,-70.000000,-70.000000,.000000,-70.000000,-70.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,-280.000000,,,,,,,20180201.000
38738,TIDALE,02/13/2018,Export,MECS3622412,PJM_TIDAL0010883_MISO,4929121,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,70.000000,MISO,40523629,MISO,40523629,TIDALE,MECSCA,20180201.000
38738,TIDALE,02/13/2018,RT Net Interchange,,,,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,70.000000,,,,,,,20180201.000
38738,TIDALE,02/16/2018,Export,MECS3623008,PJM_TIDAL0010902_MISO,4929501,.000000,.000000,.000000,.000000,.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,30.000000,MISO,40523629,MISO,40523629,TIDALE,MECSCA,20180201.000
38738,TIDALE,02/16/2018,RT Net Interchange,,,,.000000,.000000,.000000,.000000,.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,30.000000,,,,,,,20180201.000
38738,TIDALE,02/21/2018,Export,MECS3623994,PJM_TIDAL0010912_MISO,4930222,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,80.000000,MISO,40523629,MISO,40523629,TIDALE,MECSCA,20180201.000
38738,TIDALE,02/21/2018,RT Net Interchange,,,,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,80.000000,,,,,,,20180201.000
38738,TIDALE,02/22/2018,Export,MECS3624159,PJM_TIDAL0010917_MISO,4930329,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,50.000000,MISO,40523629,MISO,40523629,TIDALE,MECSCA,20180201.000
38738,TIDALE,02/22/2018,RT Net Interchange,,,,.000000,.000000,.000000,10.000000,10.000000,10.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,50.000000,,,,,,,20180201.000
End of Report
