Report Version Availability
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:07 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.82,4001.01,4001.02,4000.07,4000.83,4000.84,4000.81
Report Name,Start Date,End Date,Version,Version Timestamp (EPT),Published Status,Report Version Comments
Capacity Transfer Rights Credit Summary,02/16/2018,02/16/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/17/2018,02/17/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/18/2018,02/18/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/19/2018,02/19/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/20/2018,02/20/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/21/2018,02/21/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/22/2018,02/22/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/23/2018,02/23/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/24/2018,02/24/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/25/2018,02/25/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/26/2018,02/26/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/27/2018,02/27/2018,20180201.000,03/06/2018 14:19:29,Available,
Capacity Transfer Rights Credit Summary,02/28/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20170601.000,07/10/2017 08:55:29,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20170701.000,08/07/2017 08:40:36,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20170801.000,09/08/2017 08:35:31,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20170901.000,10/06/2017 08:50:10,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20171001.000,11/07/2017 08:42:23,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20171101.000,12/07/2017 08:47:57,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20171201.000,01/08/2018 08:44:52,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20180101.000,02/07/2018 09:00:03,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20180201.000,03/06/2018 14:19:29,Available,
Congestion Uplift Charge Summary,06/01/2017,05/31/2018,20180301.008,03/26/2018 08:04:05,Available,
Congestion and Loss Load Reconciliation Charges,02/01/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Cross-monthly Congestion Credit Summary,02/01/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Cross-monthly Congestion Credit Summary,02/01/2018,02/28/2018,20180301.001,03/15/2018 13:36:03,Available,
DASR Load Reconciliation Charge Summary,02/01/2018,02/28/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/01/2018,02/01/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/02/2018,02/02/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/03/2018,02/03/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/04/2018,02/04/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/05/2018,02/05/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/06/2018,02/06/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/07/2018,02/07/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/08/2018,02/08/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/09/2018,02/09/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/10/2018,02/10/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/11/2018,02/11/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/12/2018,02/12/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/13/2018,02/13/2018,20180201.000,03/06/2018 14:19:29,Available,
Day-Ahead Daily Energy Transactions,02/14/2018,02/14/2018,20180201.000,03/06/2018 14:19:29,Available,
