Monthly Billing Statement Recipients
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:39 AM
02/01/2018,"APH Acquisition, LLC",APHACQ,42203
02/01/2018,"APN Starfirst, LP (AP) ",APSFAP,20135
02/01/2018,"APN Starfirst, LP (AP1)",APSFA1,20893
02/01/2018,"APN Starfirst, LP (Columbus So Power)",APNSCS,24582
02/01/2018,"APN Starfirst, LP (DPL)",APSFDP,19598
02/01/2018,"APN Starfirst, LP (DUQ 1)",APSFD1,30297
02/01/2018,"APN Starfirst, LP (Duquesne)",APSFDQ,20777
02/01/2018,"APN Starfirst, LP (Illuminating Co 2)",APSFI2,21161
02/01/2018,"APN Starfirst, LP (Illuminating Co 3)",APSFI3,21162
02/01/2018,"APN Starfirst, LP (Illuminating Co)",APSFIC,20612
02/01/2018,"APN Starfirst, LP (MetEd)",APSFME,19597
02/01/2018,"APN Starfirst, LP (Ohio Edison 1)",APSFO1,31960
02/01/2018,"APN Starfirst, LP (Ohio Edison)",APSFOE,20614
02/01/2018,"APN Starfirst, LP (Ohio Power)",APNSOP,24583
02/01/2018,AXPO U.S. LLC,AXPOUS,35447
02/01/2018,"Acadia Energy Partners, LLC",ACADEP,41138
02/01/2018,Aeon Energy Trading LLC,AEONET,41023
02/01/2018,"Aesir Power, LLC",AESIRP,32231
02/01/2018,Affirmed Energy LLC (Wylan),WYLAN,30873
02/01/2018,Aggressive Energy LLC,AGRSVE,32166
02/01/2018,"Agway Energy Services, LLC (Duquesne Light Load)",AGWDQE,37427
02/01/2018,"Agway Energy Services, LLC (MetEd Load)",AGWMET,33774
02/01/2018,"Agway Energy Services, LLC (PECO Load)",AGWPCO,37428
02/01/2018,"Agway Energy Services, LLC (PPL Electric Load)",AGWPPL,37429
02/01/2018,"Agway Energy Services, LLC (PennElec Load)",AGWPEN,33775
02/01/2018,"Agway Energy Services, LLC (PennPower Load)",AGWPNP,33776
02/01/2018,"Agway Energy Services, LLC (West Penn Load)",AGWWPP,33777
02/01/2018,"Alegria Fund, LP (Account 1)",ALGR01,34170
02/01/2018,"Alegria Fund, LP (Account 3)",ALGR03,34172
02/01/2018,Algonquin Energy Services Inc. (Great Bay Solar),ALGQGB,41404
02/01/2018,Algonquin Energy Services Inc. (Minonk WF),ALGQMK,31261
02/01/2018,Algonquin Energy Services Inc. (Sandy Ridge WF),ALGQSR,31260
02/01/2018,"Allegheny Electric Cooperative, Inc.",AECI,100
02/01/2018,"Allegheny Energy Supply Company, L.L.C.",AETS,1271
02/01/2018,"Allegheny Energy Supply Company, L.L.C. (Buchanan-AETSBU)",AETSBU,10488
02/01/2018,Allegheny Power (AP MD Type 1),APAM1,12361
02/01/2018,Allegheny Power (AP load),AETSAP,4622
02/01/2018,Allegheny Power (MD HPS),APMDH,11045
02/01/2018,Allegheny Power (MD Transmission),TRNSMD,21469
02/01/2018,Allegheny Power (MonPwr Gen),APMP,12008
02/01/2018,Allegheny Power (MonPwr Load),APMPLD,24949
02/01/2018,Allegheny Power (PA Transmission),TRNSPA,21470
02/01/2018,Allegheny Power (Potomac Edison EE),APPEEE,26052
02/01/2018,Allegheny Power (Transmission),APTRAN,27211
02/01/2018,"Allegheny Power (WPenn, MonPwr, PotEd_EE WV)",WVCSP,35786
02/01/2018,Allegheny Power (Warrior Run),APWR,12175
02/01/2018,Allegheny Power (West Penn EE),APWPEE,26053
02/01/2018,Allegheny Power (West Penn UFE),WPUFE,32088
02/01/2018,"Allegheny Power (for WPenn, MonPwr, PotEd)",AP,6202
02/01/2018,Allegheny Power (for West Virginia Power),APWVP,10713
02/01/2018,Alpaca Energy LLC,ALPACA,33020
02/01/2018,"Alpha Gas & Electric, LLC (Dayton Power & Light)",AGEDAY,32466
02/01/2018,"Alpha Gas and Electric, LLC",PANAMR,20230
02/01/2018,"Alpha Gas and Electric, LLC (AEP)",AGEAEP,34051
02/01/2018,"Alpha Gas and Electric, LLC (Cleveland Illuminating)",AGECI,32468
02/01/2018,"Alpha Gas and Electric, LLC (Duke Energy OH)",AGEDEO,30035
02/01/2018,"Alpha Gas and Electric, LLC (MetEd)",ALPAME,32340
02/01/2018,"Alpha Gas and Electric, LLC (Ohio Edison)",AGEOE,32469
02/01/2018,"Alpha Gas and Electric, LLC (PECO)",AGEPE,32663
02/01/2018,"Alpha Gas and Electric, LLC (Penelec)",ALPAPN,32343
02/01/2018,"Alpha Gas and Electric, LLC (Penn Power)",ALPAPP,32341
02/01/2018,"Alpha Gas and Electric, LLC (Toledo Edison)",AGETE,32467
02/01/2018,"Alpha Gas and Electric, LLC (West PennPower)",ALPAWP,32342
02/01/2018,Alphataraxia Palladium LLC,ALPHAT,26757
02/01/2018,Amazon Energy LLC,AMZNAZ,34236
02/01/2018,Amazon Energy LLC (Buckingham Solar),AMZBUC,44928
02/01/2018,Amazon Energy LLC (Desert Wind),AMZDEW,38784
02/01/2018,Amazon Energy LLC (Eastern Shore Solar),AMZESS,37763
02/01/2018,Amazon Energy LLC (New Kent),AMZNEW,44927
02/01/2018,Amazon Energy LLC (Sappony Solar),AMZSAP,44925
02/01/2018,Amazon Energy LLC (Scott II),AMZSCO,44926
02/01/2018,Amazon Energy LLC (Southampton Solar),AMZSOU,44924
02/01/2018,Amazon Energy LLC (Timber Road Wind),AMZTRW,38824
02/01/2018,"American Municipal Power, Inc.",AMPO,284
02/01/2018,"American Municipal Power, Inc. (AEP Municipals)",AMPAEP,12047
02/01/2018,"American Municipal Power, Inc. (ATSI EDI)",AMPLDF,16997
02/01/2018,"American Municipal Power, Inc. (ATSI Fremont Energy Ctr)",AMPFRE,22659
02/01/2018,"American Municipal Power, Inc. (ATSI Municipals)",AMPFE,16998
02/01/2018,"American Municipal Power, Inc. (ATSI WM Landfill)",AMPWM,25331
02/01/2018,"American Municipal Power, Inc. (Bedford)",BEDFRD,11262
02/01/2018,"American Municipal Power, Inc. (Bedford-Wheelabrator)",AMPBWH,22660
02/01/2018,"American Municipal Power, Inc. (Belleville)",AMPBEL,12046
02/01/2018,"American Municipal Power, Inc. (Blue Creek)",AMPBLC,25811
02/01/2018,"American Municipal Power, Inc. (Brown County LF)",AMPEDI,38469
02/01/2018,"American Municipal Power, Inc. (Columbus)",AMPCOL,10731
02/01/2018,"American Municipal Power, Inc. (Danville)",AMPDAN,12058
02/01/2018,"American Municipal Power, Inc. (Dayton Munies)",AMPDAY,10890
02/01/2018,"American Municipal Power, Inc. (Ephrata)",AMPEPH,12518
02/01/2018,"American Municipal Power, Inc. (Front Royal)",BRFRYL,11929
02/01/2018,"American Municipal Power, Inc. (GPU Municipals)",AMPGPU,11084
02/01/2018,"American Municipal Power, Inc. (Georgetown, OH)",AMPGEO,33966
02/01/2018,"American Municipal Power, Inc. (Greenup)",AMPGRM,17379
02/01/2018,"American Municipal Power, Inc. (Hamilton-Duke)",AMPHAM,21259
02/01/2018,"American Municipal Power, Inc. (Hydro Electric Proj)",AMPHEP,25458
02/01/2018,"American Municipal Power, Inc. (Kentucky Municipal Power Agency)",AMPKMP,32662
02/01/2018,"American Municipal Power, Inc. (Lebanon-Duke)",AMPLEB,21260
02/01/2018,"American Municipal Power, Inc. (MI S Cntrl Pwr Agency)",AMPMSC,24070
02/01/2018,"American Municipal Power, Inc. (Martinsville)",MRTNSV,11264
02/01/2018,"American Municipal Power, Inc. (Meldahl)",AMPMEH,31837
02/01/2018,"American Municipal Power, Inc. (OMEG)",AMPOMG,12265
02/01/2018,"American Municipal Power, Inc. (PPL Municipals)",AMPPPL,11085
02/01/2018,"American Municipal Power, Inc. (Penelec)",AMPPEN,12044
02/01/2018,"American Municipal Power, Inc. (Perkasie)",AMPPER,12519
02/01/2018,"American Municipal Power, Inc. (Piqua)",AMPPIQ,70
02/01/2018,"American Municipal Power, Inc. (Prairie State)",AMPPSC,17380
02/01/2018,"American Municipal Power, Inc. (Richlands)",RCHLDS,11265
02/01/2018,"American Municipal Power, Inc. (Solar Phase II)",AMPSOL,38783
02/01/2018,"American Municipal Power, Inc. (WV Municipals)",AMPWV,12545
02/01/2018,"American Municipal Power, Inc. (Wapakoneta)",AMPWAP,38470
02/01/2018,"American Municipal Power, Inc. (Williamstown-Duke)",AMPWTN,21261
02/01/2018,"American Municipal Power, Inc. (Wyandotte)",AMPWYN,25898
02/01/2018,"American Power & Gas of IL, LLC",APGIL,37444
02/01/2018,"American Power & Gas of NJ, LLC",APGNJ,32087
02/01/2018,"American Power & Gas of NJ, LLC (Atlantic City Electric)",APGNAE,33651
02/01/2018,"American Power & Gas of NJ, LLC (JCPL)",APGNJC,33650
02/01/2018,"American Power & Gas of Ohio, LLC (AEP OH)",APGOAO,33580
02/01/2018,"American Power & Gas of Ohio, LLC (Dayton)",APGODA,33578
02/01/2018,"American Power & Gas of Ohio, LLC (Duke Energy OH)",APGODU,33579
02/01/2018,"American Power & Gas of Ohio, LLC (FE Cleveland Illuminating)",APGOCE,33583
02/01/2018,"American Power & Gas of Ohio, LLC (FE Load)",APGOFE,34563
02/01/2018,"American Power & Gas of Ohio, LLC (FE Ohio Edison)",APGOFO,33581
02/01/2018,"American Power & Gas of Ohio, LLC (FE Toledo Edison)",APGOTE,33582
