Spot Market Energy Charge Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 12:00:27 PM
Start Date:,02/01/2018,End Date:,02/28/2018
4000.01,4000.02,4000.05,4000.06,3000.28,3000.01,1200.01,3000.29,3000.30,3000.02,1205.01,4000.07
Customer ID,Customer Code,EPT Hour Ending,GMT Hour Ending,DA Net Interchange (MWh),DA PJM Energy Price ($/MWh),DA Spot Market Energy Charge ($),RT Net Interchange (MWh),Bal Net Interchange (MWh),RT PJM Energy Price ($/MWh),Bal Spot Market Energy Charge ($),Version
38738,TIDALE,02/02/2018 16,02/02/2018 21,-35.000,46.69,-1634.15,-70.000,-35.000,63.16,-2210.60,20180201.000
38738,TIDALE,02/02/2018 17,02/02/2018 22,-35.000,53.00,-1855.00,-70.000,-35.000,53.73,-1880.55,20180201.000
38738,TIDALE,02/02/2018 18,02/02/2018 23,-35.000,73.29,-2565.15,-70.000,-35.000,57.75,-2021.25,20180201.000
38738,TIDALE,02/02/2018 19,02/03/2018 00,-35.000,85.34,-2986.90,-70.000,-35.000,67.36,-2357.60,20180201.000
38738,TIDALE,02/02/2018 20,02/03/2018 01,-35.000,79.91,-2796.85,-70.000,-35.000,47.25,-1653.75,20180201.000
38738,TIDALE,02/02/2018 21,02/03/2018 02,-35.000,70.60,-2471.00,-70.000,-35.000,48.43,-1695.05,20180201.000
38738,TIDALE,02/02/2018 22,02/03/2018 03,-35.000,69.48,-2431.80,-70.000,-35.000,55.83,-1954.05,20180201.000
38738,TIDALE,02/02/2018 23,02/03/2018 04,-35.000,57.35,-2007.25,-70.000,-35.000,46.83,-1639.05,20180201.000
38738,TIDALE,02/02/2018 24,02/03/2018 05,-35.000,49.01,-1715.35,-70.000,-35.000,33.74,-1180.90,20180201.000
38738,TIDALE,02/03/2018 01,02/03/2018 06,-35.000,44.67,-1563.45,-70.000,-35.000,35.63,-1247.05,20180201.000
38738,TIDALE,02/03/2018 02,02/03/2018 07,-35.000,43.09,-1508.15,-70.000,-35.000,44.18,-1546.30,20180201.000
38738,TIDALE,02/03/2018 03,02/03/2018 08,-35.000,40.91,-1431.85,-70.000,-35.000,37.11,-1298.85,20180201.000
38738,TIDALE,02/03/2018 04,02/03/2018 09,-35.000,41.83,-1464.05,-70.000,-35.000,37.25,-1303.75,20180201.000
38738,TIDALE,02/03/2018 05,02/03/2018 10,-35.000,42.91,-1501.85,-70.000,-35.000,31.94,-1117.90,20180201.000
38738,TIDALE,02/03/2018 06,02/03/2018 11,-35.000,47.44,-1660.40,-70.000,-35.000,36.65,-1282.75,20180201.000
38738,TIDALE,02/03/2018 07,02/03/2018 12,-35.000,52.62,-1841.70,-70.000,-35.000,40.75,-1426.25,20180201.000
38738,TIDALE,02/03/2018 08,02/03/2018 13,-35.000,58.17,-2035.95,-70.000,-35.000,42.02,-1470.70,20180201.000
38738,TIDALE,02/03/2018 09,02/03/2018 14,-35.000,55.90,-1956.50,-70.000,-35.000,38.43,-1345.05,20180201.000
38738,TIDALE,02/03/2018 10,02/03/2018 15,-35.000,49.02,-1715.70,-70.000,-35.000,35.88,-1255.80,20180201.000
38738,TIDALE,02/03/2018 11,02/03/2018 16,.000,35.38,.00,-35.000,-35.000,28.34,-991.90,20180201.000
38738,TIDALE,02/03/2018 12,02/03/2018 17,.000,31.65,.00,-35.000,-35.000,26.82,-938.70,20180201.000
38738,TIDALE,02/03/2018 13,02/03/2018 18,-35.000,29.03,-1016.05,-70.000,-35.000,26.38,-923.30,20180201.000
38738,TIDALE,02/03/2018 14,02/03/2018 19,-35.000,27.36,-957.60,-70.000,-35.000,31.01,-1085.35,20180201.000
38738,TIDALE,02/03/2018 15,02/03/2018 20,-35.000,26.78,-937.30,-70.000,-35.000,27.94,-977.90,20180201.000
38738,TIDALE,02/03/2018 16,02/03/2018 21,-35.000,26.34,-921.90,-70.000,-35.000,24.51,-857.85,20180201.000
38738,TIDALE,02/03/2018 17,02/03/2018 22,-35.000,27.37,-957.95,-70.000,-35.000,25.78,-902.30,20180201.000
38738,TIDALE,02/03/2018 18,02/03/2018 23,.000,32.13,.00,-35.000,-35.000,30.36,-1062.60,20180201.000
